# Wing Angle Data Export
# Generated on: 2025-10-08 23:11:16
# Original time range: [11.800, 12.500] seconds
# Time normalized to start from 0
# Raw forewing points: 32
# Raw hindwing points: 30
# Interpolated forewing points: 320
# Interpolated hindwing points: 300
# Columns:
# - time: Time in seconds (normalized to start from 0)
# - forewing_angle: Forewing angle in degrees
# - hindwing_angle: Hindwing angle in degrees
# - data_type: 'raw' for original data points, 'interpolated' for smoothed curve
time,forewing_angle,hindwing_angle,data_type
0.2749314702194354,-39.45669630415634,,interpolated
0.2764550969899666,,0.2762928589585383,interpolated
0.2767861818181814,-39.82440963583626,,interpolated
0.2785174280936449,,0.5583985566162608,interpolated
0.2786408934169273,-40.15410451472332,,interpolated
0.2804956050156733,-40.449400259432,,interpolated
0.28057975919732314,,0.8389282212202924,interpolated
0.28235031661441923,-40.713500151183375,,interpolated
0.2826420903010032,,1.118089777737952,interpolated
0.2828609999999987,-39.33339227193798,,raw
0.2842050282131652,-40.948336941849234,,interpolated
0.28470442140468144,,1.3953613251431738,interpolated
0.28605973981191113,-41.15406509710216,,interpolated
0.2867667525083615,,1.6690972808898288,interpolated
0.2879144514106571,-41.32922710765126,,interpolated
0.28882908361203974,,1.9367385809196689,interpolated
0.28976916300940303,-41.47147742473688,,interpolated
0.290891414715718,,2.1951293796293765,interpolated
0.29117699999999935,-39.76656038373051,,raw
0.291623874608149,-41.57803836703043,,interpolated
0.29295374581939804,,2.4421346801672597,interpolated
0.2934785862068967,-41.64607556803217,,interpolated
0.2950160769230763,,2.6775624001784517,interpolated
0.29533329780564266,-41.67272459191313,,interpolated
0.29707840802675456,,2.902848576777433,interpolated
0.2971880094043886,-41.65506076898262,,interpolated
0.29904272100313456,-41.59006758806342,,interpolated
0.2991407391304346,,3.1206498792391115,interpolated
0.2995190000000001,-41.12529133498825,,raw
0.3008974326018805,-41.47460364577394,,interpolated
0.30120307023411286,,3.333251490874764,interpolated
0.30275214420062646,-41.305368152717875,,interpolated
0.3032654013377929,,3.541478554436823,interpolated
0.3046068557993724,-41.07886499658109,,interpolated
0.30532773244147116,,3.7448691014065782,interpolated
0.30646156739811836,-40.79136536213575,,interpolated
0.3073900635451494,,3.94189709462748,interpolated
0.30783899999999953,-40.6591486177679,,raw
0.3083162789968643,-40.43886890815187,,interpolated
0.30945239464882945,,4.130522484318374,interpolated
0.31017099059561026,-40.017063501215965,,interpolated
0.3115147257525077,,4.308624505657725,interpolated
0.3120257021943562,-39.52128350645725,,interpolated
0.313577056856186,,4.4740527062088615,interpolated
0.31388041379310216,-38.946466635180904,,interpolated
0.315639387959866,,4.624659393758451,interpolated
0.3157351253918481,-38.28721304306528,,interpolated
0.3161889999999996,-40.01546967296872,,raw
0.31758983699059584,-37.5387947369805,,interpolated
0.3177017190635443,,4.758262652342217,interpolated
0.3194445485893418,-36.697916007438025,,interpolated
0.3197640501672243,,4.872619754279223,interpolated
0.32129926018808774,-35.7630018149392,,interpolated
0.3218263812709026,,4.965484399738703,interpolated
0.3231539717868337,-34.734485799198964,,interpolated
0.32388871237458083,,5.034674965190568,interpolated
